2025-06-05 21:09:50 | INFO     | data.streaming_data_handler |   Streamed 13,400,000 snapshots. Current: 2025-05-29 06:50:19.416079
2025-06-05 21:09:51 | INFO     | core.optimized_engine |   Processed 13,500,000 events (1440846 events/s, avg batch: 0.7ms)
2025-06-05 21:09:51 | INFO     | core.optimized_engine |   Processed 13,600,000 events (1428578 events/s, avg batch: 0.7ms)
2025-06-05 21:09:51 | INFO     | data.streaming_data_handler |   Streamed 13,600,000 snapshots. Current: 2025-05-29 06:51:29.298185
2025-06-05 21:09:51 | INFO     | core.optimized_engine |   Processed 13,700,000 events (1360462 events/s, avg batch: 0.7ms)
2025-06-05 21:09:51 | INFO     | core.optimized_engine |   Processed 13,800,000 events (1659139 events/s, avg batch: 0.7ms)
2025-06-05 21:09:51 | INFO     | data.streaming_data_handler |   Streamed 13,800,000 snapshots. Current: 2025-05-29 06:52:35.378524
2025-06-05 21:09:52 | INFO     | core.optimized_engine |   Processed 13,900,000 events (1440846 events/s, avg batch: 0.7ms)
2025-06-05 21:09:52 | INFO     | core.optimized_engine |   Processed 14,000,000 events (1197346 events/s, avg batch: 0.7ms)
2025-06-05 21:09:52 | INFO     | data.streaming_data_handler |   Streamed 14,000,000 snapshots. Current: 2025-05-29 06:53:36.412996
2025-06-05 21:09:53 | INFO     | core.optimized_engine |   Processed 14,100,000 events (1070795 events/s, avg batch: 1.2ms)
2025-06-05 21:09:53 | INFO     | core.optimized_engine |   Processed 14,200,000 events (1048576 events/s, avg batch: 1.2ms)
2025-06-05 21:09:53 | INFO     | data.streaming_data_handler |   Streamed 14,200,000 snapshots. Current: 2025-05-29 06:54:32.389644
2025-06-05 21:09:53 | INFO     | core.optimized_engine |   Processed 14,300,000 events (1174546 events/s, avg batch: 0.9ms)
2025-06-05 21:09:54 | INFO     | core.optimized_engine |   Processed 14,400,000 events (1412699 events/s, avg batch: 0.8ms)
2025-06-05 21:09:54 | INFO     | data.streaming_data_handler |   Streamed 14,400,000 snapshots. Current: 2025-05-29 06:55:15.981197
2025-06-05 21:09:54 | INFO     | core.optimized_engine |   Processed 14,500,000 events (1663746 events/s, avg batch: 0.6ms)
2025-06-05 21:09:54 | INFO     | core.optimized_engine |   Processed 14,600,000 events (1455850 events/s, avg batch: 0.7ms)
2025-06-05 21:09:54 | INFO     | data.streaming_data_handler |   Streamed 14,600,000 snapshots. Current: 2025-05-29 06:57:04.324533
2025-06-05 21:09:54 | INFO     | core.optimized_engine |   Processed 14,700,000 events (1457368 events/s, avg batch: 0.7ms)
2025-06-05 21:09:55 | INFO     | core.optimized_engine |   Processed 14,800,000 events (1297341 events/s, avg batch: 0.7ms)
2025-06-05 21:09:55 | INFO     | data.streaming_data_handler |   Streamed 14,800,000 snapshots. Current: 2025-05-29 06:58:57.454426
2025-06-05 21:09:55 | INFO     | core.optimized_engine |   Processed 14,900,000 events (1452824 events/s, avg batch: 0.7ms)
2025-06-05 21:09:55 | INFO     | core.optimized_engine |   Processed 15,000,000 events (1805555 events/s, avg batch: 0.7ms)
2025-06-05 21:09:55 | INFO     | data.streaming_data_handler |   Streamed 15,000,000 snapshots. Current: 2025-05-29 07:00:40.679541
2025-06-05 21:09:56 | INFO     | core.optimized_engine |   Processed 15,100,000 events (1691934 events/s, avg batch: 0.7ms)
2025-06-05 21:09:56 | INFO     | core.optimized_engine |   Processed 15,200,000 events (1434440 events/s, avg batch: 0.7ms)
2025-06-05 21:09:56 | INFO     | data.streaming_data_handler |   Streamed 15,200,000 snapshots. Current: 2025-05-29 07:02:00.252491
2025-06-05 21:09:56 | INFO     | core.optimized_engine |   Processed 15,300,000 events (1430527 events/s, avg batch: 0.7ms)
2025-06-05 21:09:57 | INFO     | core.optimized_engine |   Processed 15,400,000 events (1256532 events/s, avg batch: 0.8ms)
2025-06-05 21:09:57 | INFO     | data.streaming_data_handler |   Streamed 15,400,000 snapshots. Current: 2025-05-29 07:03:40.808125
2025-06-05 21:09:57 | INFO     | core.optimized_engine |   Processed 15,500,000 events (1436898 events/s, avg batch: 0.7ms)
2025-06-05 21:09:57 | INFO     | core.optimized_engine |   Processed 15,600,000 events (1242389 events/s, avg batch: 0.7ms)
2025-06-05 21:09:57 | INFO     | data.streaming_data_handler |   Streamed 15,600,000 snapshots. Current: 2025-05-29 07:05:02.986568
2025-06-05 21:09:57 | INFO     | core.optimized_engine |   Processed 15,700,000 events (1473236 events/s, avg batch: 0.7ms)
